credit_spread_bps,recovery_rate_pct,hazard_rate_pct,fair_coupon_rate_pct,survival_to_maturity_pct,expected_loss_pct,investor_value_pct,investor_npv,issuer_npv
100.0,20.0,1.25,5.287595372458406,93.94130628134758,4.846954974921935,108.51964493041753,85196.44930417533,-85196.44930417533
100.0,35.0,1.5384615384615383,5.291048791047527,92.5961078642316,4.8125298882494585,108.44334966095055,84433.4966095055,-84433.4966095055
100.0,50.0,2.0,5.296579262794091,90.48374180359595,4.758129098202025,108.32291874515714,83229.18745157146,-83229.18745157146
100.0,65.0,2.857142857142857,5.306866493465234,86.68778997501816,4.659273508743644,108.10450617291765,81045.06172917644,-81045.06172917644
200.0,20.0,2.5,6.305709082125772,88.24969025845955,9.400247793232362,103.97354705060255,39735.47050602548,-39735.47050602548
200.0,35.0,3.0769230769230766,6.3133637086817895,85.74039191604413,9.268745254571312,103.88536833264526,38853.683326452505,-38853.683326452505
200.0,50.0,4.0,6.325632648712524,81.87307530779819,9.06346234610091,103.74826019942738,37482.601994273835,-37482.601994273835
200.0,65.0,5.714285714285714,6.348488332038664,75.14772930752859,8.698294742364993,103.50604404310877,35060.44043108774,-35060.44043108774
300.0,20.0,3.75,7.32700937357664,82.90291181804004,13.677670545567972,99.68580739319836,-3141.926068016328,3141.926068016328
300.0,35.0,4.615384615384615,7.339618177972918,79.39226578179513,13.395027241833162,99.64203583000652,-3579.641699934844,3579.641699934844
300.0,50.0,6.0,7.359844186193321,74.08182206817179,12.959088965914106,99.57574653113174,-4242.534688682528,4242.534688682528
300.0,65.0,8.571428571428571,7.397576961967352,65.14390575310556,12.199632986413054,99.46393897317418,-5360.61026825814,5360.61026825814
450.0,20.0,5.624999999999999,8.86495647747582,75.48396019890073,19.612831840879412,93.70573377573767,-62942.66224262328,62942.66224262328
450.0,35.0,6.9230769230769225,8.886419766345778,70.74036474040616,19.01876291873599,93.81830078470999,-61816.9921529002,61816.9921529002
450.0,50.0,9.0,8.920889620575087,63.76281516217733,18.118592418911334,93.99160763663227,-60083.9236336773,60083.9236336773
450.0,65.0,12.85714285714286,8.985327331774396,52.578802442577974,16.597419145097707,94.29241294461713,-57075.87055382866,57075.87055382866
700.0,20.0,8.75,11.444276298922947,64.5648526427892,28.348117885768637,84.82867231418672,-151713.2768581328,151713.2768581328
700.0,35.0,10.76923076923077,11.484336076547166,58.3645478143574,27.063043920667685,85.38951982170198,-146104.8017829801,146104.8017829801
700.0,50.0,14.000000000000002,11.548790906493714,49.65853037914095,25.17073481042953,86.22192051733715,-137780.79482662852,137780.79482662852
700.0,65.0,20.000000000000004,11.669675670279336,36.78794411714422,22.12421955899952,87.57995532008445,-124200.44679915556,124200.44679915556
